Municipio,Casos,Defunciones
Ecatepec de Morelos,"23,799","3,141"
Nezahualcóyotl,"18,330","1,081"
Toluca,"14,387","2,373"
Naucalpan,"13,338","1,315"
Tlalnepantla,"11,358","1,059"
Chalco,"7,921","1,317"
Tultitlán,"5,903","1,026"
Ixtapaluca,"5,437",591
Tecámac,"5,275",814
Cuautitlán Izcalli,"5,257","1,046"
Atizapán de Zaragoza,"5,032",588
Chimalhuacán,"4,977",542
Coacalco de Berriozábal,"4,486",616
Nicolás Romero,"3,834",515
Cuautitlán,"3,675",401
Metepec,"3,410",588
Huixquilucan,"3,401",171
La Paz,"2,681",598
Texcoco,"2,469",487
Valle de Chalco,"2,181",412
Zumpango,"2,082",318
Tultepec,"1,741",220
Lerma,"1,616",329
Zinacantepec,"1,611",285
Chicoloapan,"1,561",162
Atlacomulco,"1,386",288
Acolman,"1,249",103
Huehuetoca,"1,094",104
Tejupilco,"1,068",157
San Mateo Atenco,941,186
Almoloya de Juárez,922,180
Ixtlahuaca,841,186
Tenancingo,786,186
Tlalmanalco,739,35
Tenango del Valle,732,149
Teotihuacán,723,75
Ocoyoacac,709,162
Atizapán,677,149
Xonacatlán,651,140
Tianguistenco,612,80
Melchor Ocampo,604,107
Teoloyucán,595,120
Tepotzotlán,572,49
Jilotepec,564,89
Jocotitlán,538,63
Temoaya,501,103
Atenco,481,62
Otzolotepec,480,117
San Felipe del Progreso,465,79
Coyotepec,451,74
Calimaya,448,90
Acambay,440,39
Amecameca,435,46
Valle de Bravo,433,33
Tezoyuca,345,51
Capulhuac,331,27
El Oro,329,70
Temascalcingo,319,40
Otumba,308,32
Temascalapa,300,35
Axapusco,285,19
San Antonio la Isla,273,57
Nextlalpan,271,55
Villa Victoria,271,30
Hueypoxtla,260,40
Ozumba,256,14
San Martín de las Pirámides,232,16
Xalatlaco,224,34
Temamatla,219,9
San José del Rincón,218,35
Jiquipilco,213,49
Jilotzingo,200,13
Tequixquiac,190,39
Apaxco,187,56
Villa del Carbón,180,13
Jaltenco,179,42
Ixtapan de la Sal,179,24
Villa Guerrero,173,36
Amanalco,171,20
Luvianos,170,36
Chiconcuac,167,19
Cocotitlán,166,10
Ocuilan,160,37
Chiautla,160,28
Mexicaltzingo,148,31
Atlautla,146,10
Chapultepec,138,23
Almoloya del Río,133,32
Temascaltepec,132,29
Morelos,129,13
Malinalco,125,33
Aculco,113,8
Tepetlixpa,113,7
Nopaltepec,111,4
Rayón,110,20
Joquicingo,105,32
Juchitepec,102,10
Tepetlaoxtoc,101,12
Zumpahuacán,100,29
Tenango del Aire,94,6
Texcaltitlán,92,5
Villa de Allende,89,19
Chapa de Mota,88,16
Tlatlaya,85,28
Amatepec,82,16
Coatepec Harinas,79,13
Timilpan,79,9
Donato Guerra,73,14
Tonatico,71,13
Almoloya de Alquisiras,67,7
Tonanitla,66,11
Isidro Fabela,62,2
Sultepec,59,12
Texcalyacac,57,7
Soyaniquilpan de Juárez,52,6
San Simón de Guerrero,49,
Polotitlán,46,2
Santo Tomás,37,3
Zacualpan,36,3
Ayapango,33,2
Papalotla,29,4
Ecatzingo,27,1
Zacazonapan,18,1
Ixtapan del Oro,15,1
Otzoloapan,13,4
Total,"186,139","24,730"
